rva	symbol	category	disposition	public_header	probe	address_id
0002F250	?event_loop@IVP_Time_Manager@@QAEXPAVIVP_Environment@@VIVP_Time@@@Z	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::TimeManagerEventLoop	TimeManagerEventLoop
0002F2A0	?env_set_current_time@IVP_Time_Manager@@QAEXPAVIVP_Environment@@VIVP_Time@@@Z	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::TimeManagerSetEnvironmentTime	TimeManagerSetEnvironmentTime
0002F5E0	??0IVP_Anomaly_Limits@@QAE@W4IVP_BOOL@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyLimitsConstruct	AnomalyLimitsConstruct
0002F630	??1IVP_Anomaly_Limits@@UAE@XZ	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyLimitsDestruct	AnomalyLimitsDestruct
0002F640	?environment_will_be_deleted@IVP_Anomaly_Limits@@UAEXPAVIVP_Environment@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyLimitsEnvironmentDeleted	AnomalyLimitsEnvironmentDeleted
0002F660	??0IVP_Anomaly_Manager@@QAE@W4IVP_BOOL@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerConstruct	AnomalyManagerConstruct
0002F6A0	??1IVP_Anomaly_Manager@@UAE@XZ	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerDestruct	AnomalyManagerDestruct
0002F6B0	?environment_will_be_deleted@IVP_Anomaly_Manager@@UAEXPAVIVP_Environment@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerEnvironmentDeleted	AnomalyManagerEnvironmentDeleted
0002F6D0	?max_velocity_exceeded@IVP_Anomaly_Manager@@UAEXPAVIVP_Anomaly_Limits@@PAVIVP_Core@@PAVIVP_U_Float_Point@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerMaxVelocity	AnomalyManagerMaxVelocity
0002F720	?max_angular_velocity_exceeded@IVP_Anomaly_Manager@@UAEXPAVIVP_Anomaly_Limits@@PAVIVP_Core@@PAVIVP_U_Float_Point@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerMaxAngularVelocity	AnomalyManagerMaxAngularVelocity
0002F780	?solve_inter_penetration_simple@IVP_Anomaly_Manager@@QAEXPAVIVP_Real_Object@@0@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerSolvePenetrationSimple	AnomalyManagerSolvePenetrationSimple
0002F8F0	?inter_penetration@IVP_Anomaly_Manager@@UAEXPAVIVP_Mindist@@PAVIVP_Real_Object@@1@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerInterPenetration	AnomalyManagerInterPenetration
0002FC80	?get_push_speed_penetration@IVP_Anomaly_Manager@@UAEMPAVIVP_Real_Object@@0@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerPushSpeedPenetration	AnomalyManagerPushSpeedPenetration
0002FCC0	?max_collisions_exceeded_check_freezing@IVP_Anomaly_Manager@@UAE?AW4IVP_BOOL@@PAVIVP_Anomaly_Limits@@PAVIVP_Core@@@Z	public-anomaly	typed-wrapper	include/BML/IVP/Anomaly.h	Address::AnomalyManagerMaxCollisions	AnomalyManagerMaxCollisions
00030180	unnamed retail body (MinListAdd)	public-min-list	typed-wrapper	include/BML/IVP/MinList.h	Address::MinListAdd	MinListAdd
00030470	?remove_minlist_elem@IVP_U_Min_List@@QAEXI@Z	public-min-list	typed-wrapper	include/BML/IVP/MinList.h	Address::MinListRemove	MinListRemove
00030540	?do_impact@IVP_Mindist_Recursive@@UAEXXZ	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveDoImpact	MindistRecursiveDoImpact
00030710	?exact_mindist_went_invalid@IVP_Mindist_Recursive@@UAEXPAVIVP_Mindist_Manager@@@Z	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveExactWentInvalid	MindistRecursiveExactWentInvalid
000307F0	?delete_all_children@IVP_Mindist_Recursive@@AAEXXZ	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveDeleteAllChildren	MindistRecursiveDeleteAllChildren
000309C0	?collision_is_going_to_be_deleted_event@IVP_Mindist_Recursive@@EAEXPAVIVP_Collision@@@Z	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveCollisionDeleted	MindistRecursiveCollisionDeleted
00030A30	?recheck_recursive_childs@IVP_Mindist_Recursive@@AAEXN@Z	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveRecheckChildren	MindistRecursiveRecheckChildren
00030AF0	?invalid_mindist_went_exact@IVP_Mindist_Recursive@@AAEXXZ	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveInvalidWentExact	MindistRecursiveInvalidWentExact
00030B20	?rec_hull_limit_exceeded_event@IVP_Mindist_Recursive@@QAEXXZ	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistRecursiveHullLimitExceeded	MindistRecursiveHullLimitExceeded
00036080	?test_gauss_solution_suggestion@IVP_Friction_Solver@@QAE?AW4IVP_RETURN_TYPE@@PANPAHHPAVIVP_U_Memory@@@Z	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverTestGauss	FrictionSolverTestGauss
00036170	?factor_result_vec@IVP_Friction_Solver@@QAEXXZ	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverFactorResult	FrictionSolverFactorResult
00036190	?normize_constraint_equ@IVP_Friction_Solver@@QAEXXZ	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverNormalizeConstraints	FrictionSolverNormalizeConstraints
000362C0	?get_num_supposed_active_frdists@IVP_Friction_System@@QAEHXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemGetSupposedActiveCount	FrictionSystemGetSupposedActiveCount
000362E0	?solve_linear_equation_and_push@IVP_Friction_Solver@@QAEXPAVIVP_Friction_System@@PAHHPAVIVP_U_Memory@@@Z	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverSolveAndPush	FrictionSolverSolveAndPush
000364C0	?do_resulting_pushes@IVP_Friction_Solver@@QAEHPAVIVP_Friction_System@@@Z	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverApplyResults	FrictionSolverApplyResults
000366A0	?setup_coords_mindists@IVP_Friction_Solver@@QAEXPAVIVP_Friction_System@@@Z	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverSetupCoordinates	FrictionSolverSetupCoordinates
00036760	?calc_solver_PSI@IVP_Friction_Solver@@QAEHPAVIVP_Friction_System@@PAH@Z	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverCalculatePsi	FrictionSolverCalculatePsi
00036B30	?get_closing_speed_core_i@IVP_Friction_Solver@@SANPBVIVP_Impact_Solver_Long_Term@@HPBVIVP_U_Float_Point@@PAV3@@Z	public-friction-solver	typed-wrapper	include/BML/IVP/FrictionSolver.h	Address::FrictionSolverGetClosingSpeedCore	FrictionSolverGetClosingSpeedCore
00036B80	?reorder_mindists_for_complex@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemReorderMindists	FrictionSystemReorderMindists
00036C20	?exchange_friction_dists@IVP_Friction_System@@QAEXPAVIVP_Contact_Point@@0@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemExchangeDistances	FrictionSystemExchangeDistances
00036C60	?bubble_sort_dists_importance@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemBubbleSortDistances	FrictionSystemBubbleSortDistances
00036CB0	?core_is_terminal_in_fs@IVP_Friction_System@@QAE?AW4IVP_BOOL@@PAVIVP_Core@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemCoreIsTerminal	FrictionSystemCoreIsTerminal
00036D10	?static_fr_oversized_matrix_panic@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemOversizedMatrixPanic	FrictionSystemOversizedMatrixPanic
00036D70	?do_friction_system@IVP_Friction_System@@QAEXPBVIVP_Event_Sim@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemRun	FrictionSystemRun
00036EC0	?kinetic_energy_of_hole_frs@IVP_Friction_System@@QAENXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemKineticEnergy	FrictionSystemKineticEnergy
00036F80	?confirm_complex_pushes@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemConfirmComplexPushes	FrictionSystemConfirmComplexPushes
00036FA0	?undo_complex_pushes@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemUndoComplexPushes	FrictionSystemUndoComplexPushes
00036FC0	?get_max_energy_gain@IVP_Friction_System@@QAENXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemGetMaxEnergyGain	FrictionSystemGetMaxEnergyGain
00037000	??0IVP_U_Min_Hash@@QAE@H@Z	public-min-hash	typed-wrapper	include/BML/IVP/MinHash.h	Address::MinHashConstruct	MinHashConstruct
00037050	??1IVP_U_Min_Hash@@QAE@XZ	public-min-hash	typed-wrapper	include/BML/IVP/MinHash.h	Address::MinHashDestruct	MinHashDestruct
000371C0	?add@IVP_U_Min_Hash@@QAEXPAXN@Z	public-min-hash	typed-wrapper	include/BML/IVP/MinHash.h	Address::MinHashAdd	MinHashAdd
00037260	?remove@IVP_U_Min_Hash@@QAEXPAX@Z	public-min-hash	typed-wrapper	include/BML/IVP/MinHash.h	Address::MinHashRemove	MinHashRemove
000372E0	?remove_min@IVP_U_Min_Hash@@QAEXXZ	public-min-hash	typed-wrapper	include/BML/IVP/MinHash.h	Address::MinHashRemoveMinimum	MinHashRemoveMinimum
00037300	??0IVP_U_Plain@@QAE@PBVIVP_U_Hesse@@@Z	public-geometry	typed-wrapper	include/BML/IVP/Geometry.h	Address::PlainConstructFromHesse	PlainConstructFromHesse
000373A0	?calc_intersect_with@IVP_U_Plain@@QBE?AW4IVP_RETURN_TYPE@@PBVIVP_U_Hesse@@PAVIVP_U_Straight@@@Z	public-geometry	typed-wrapper	include/BML/IVP/Geometry.h	Address::PlainIntersectPlane	PlainIntersectPlane
00037490	?calc_intersect_with@IVP_U_Hesse@@QBE?AW4IVP_RETURN_TYPE@@PBVIVP_U_Straight@@PAVIVP_U_Point@@@Z	public-geometry	typed-wrapper	include/BML/IVP/Geometry.h	Address::HesseIntersectStraight	HesseIntersectStraight
000375B0	??0IVP_Constraint@@QAE@XZ	public-constraint	typed-wrapper	include/BML/IVP/Constraint.h	Address::ConstraintConstruct	ConstraintConstruct
00037620	?activate@IVP_Constraint@@QAEXXZ	public-constraint	typed-wrapper	include/BML/IVP/Constraint.h	Address::ConstraintActivate	ConstraintActivate
00060756	??3@YAXPAX@Z	public-calls	typed-wrapper	include/BML/IVP/Calls.h	Address::OperatorDelete	OperatorDelete
0006075C	??2@YAPAXI@Z	public-buoyancy	typed-wrapper	include/BML/IVP/Buoyancy.h	Address::OperatorNew	OperatorNew
00060770	free	public-active-value	typed-wrapper	include/BML/IVP/ActiveValue.h	Address::Free	Free
0002FCD0	?ivp_rand@@YAMXZ	public-types	typed-wrapper	include/BML/IVP/Types.h	Address::RandomFloat	RandomFloat
0001DAB0	?p_strlen@@YAHPBD@Z	public-types	typed-wrapper	include/BML/IVP/Types.h	Address::StringLength	StringLength
0001DAD0	?p_strcmp@@YAHPBD0@Z	public-types	typed-wrapper	include/BML/IVP/Types.h	Address::StringCompare	StringCompare
